"","res.TP","res.ANC","res.TPANC","res.anova"
"AC001A",0.0303030303030303,0.111111111111111,0.595959595959596,8.53899710662662e-05
"AC002A",0.0101010101010101,0.0101010101010101,0.0101010101010101,1.41502270218815e-05
"AC004A",0.0303030303030303,0.0202020202020202,0.0202020202020202,2.35833665952921e-14
"AC006A",0.0505050505050505,0.0101010101010101,0.0101010101010101,0.354270703064503
"AC008A",0.96969696969697,0.565656565656566,0.232323232323232,0.403485755284353
"AC013A",0.0101010101010101,0.0101010101010101,0.0505050505050505,1.35393009694687e-06
"AC014A",0.0101010101010101,0.0101010101010101,0.0101010101010101,0.190552023543943
"AC018A",0.0101010101010101,0.0101010101010101,0.0404040404040404,5.74735324223688e-07
"AC022A",0.0101010101010101,0.0101010101010101,0.0101010101010101,5.1453354768288e-13
"AC023A",0.0202020202020202,0.0707070707070707,0.141414141414141,0.0260578192461344
"AC032A",0.0808080808080808,0.575757575757576,0.898989898989899,0.000113979984976893
"AC034A",0.151515151515152,0.101010101010101,0.222222222222222,6.30257604146153e-05
"AC042A",0.0202020202020202,0.0101010101010101,0.0101010101010101,1.06426389850981e-09
"AC044A",0.0202020202020202,0.0101010101010101,0.0101010101010101,1.34859382360912e-16
"AC046A",0.0101010101010101,0.0101010101010101,0.0101010101010101,4.37712348948174e-05
"AC049A",0.0404040404040404,0.0505050505050505,0.0909090909090909,2.3854965595814e-19
"AC9993",0.151515151515152,0.141414141414141,0.111111111111111,0.343478964202137
"AM001A",0.0707070707070707,0.0303030303030303,0.0202020202020202,0.0494130954810501
"AM004A",0.888888888888889,0.121212121212121,0.0404040404040404,2.19404214751983e-05
"AM012A",0.0303030303030303,0.0101010101010101,0.0101010101010101,0.00176880244588662
"AN009A",0.525252525252525,0.282828282828283,0.131313131313131,0.000174823174642683
"AP001A",0.0606060606060606,0.0101010101010101,0.0404040404040404,1.88101158347977e-05
"AS001A",0.0202020202020202,0.0808080808080808,0.95959595959596,0.000938153105964893
"AU002A",0.0303030303030303,0.101010101010101,0.535353535353535,0.00878753364783636
"AU003A",0.101010101010101,0.0606060606060606,0.191919191919192,0.0164742608970087
"AU004A",0.0101010101010101,0.0101010101010101,0.0101010101010101,6.73710852266656e-07
"AU004D",0.141414141414141,0.535353535353535,0.707070707070707,2.49744124655599e-25
"AU005A",0.0606060606060606,0.0303030303030303,0.0202020202020202,0.0335986042541531
"AU009A",0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0506512082988374
"AU010A",0.0101010101010101,0.0202020202020202,0.0202020202020202,7.97334948598418e-25
"AU014A",0.0101010101010101,0.0101010101010101,0.0101010101010101,2.36857286207141e-48
"AU020A",0.0101010101010101,0.0101010101010101,0.161616161616162,3.83742128909521e-06
"AU028A",0.0101010101010101,0.0606060606060606,0.0505050505050505,1.16244843612772e-70
"BR001A",0.0101010101010101,0.0202020202020202,0.97979797979798,2.34602515989257e-34
"BR006A",0.0101010101010101,0.0101010101010101,0.0101010101010101,7.99073996793334e-12
"CA002A",0.515151515151515,0.676767676767677,0.606060606060606,0.00220451994319003
"CC001A",0.0101010101010101,0.0303030303030303,0.0505050505050505,0.0687592579588121
"CC002A",0.0101010101010101,0.0101010101010101,0.323232323232323,1.65087274376454e-06
"CC9997",0.0101010101010101,0.0101010101010101,0.0101010101010101,2.02781554761255e-05
"CL001A",0.0606060606060606,0.0101010101010101,0.0101010101010101,0.0246283271440111
"CM002A",0.0909090909090909,0.0101010101010101,0.0202020202020202,0.0118087447333291
"CM004A",0.0101010101010101,0.95959595959596,1,2.58975487548413e-23
"CM006A",0.272727272727273,0.98989898989899,0.96969696969697,0.00330063172915587
"CM010A",0.0101010101010101,0.0101010101010101,0.0101010101010101,0.081809497500041
"CM013A",0.111111111111111,0.777777777777778,1,8.73816584864582e-06
"CM015A",0.0101010101010101,0.0202020202020202,0.606060606060606,3.90830570186562e-28
"CM017A",0.0505050505050505,0.0202020202020202,0.0101010101010101,0.000529744098195769
"CM018A",0.0101010101010101,0.0101010101010101,0.0101010101010101,0.00804854457656826
"CM020A",0.0101010101010101,0.0101010101010101,0.0101010101010101,2.61639222273874e-08
"CM029A",0.242424242424242,0.0808080808080808,0.292929292929293,1.69402171442444e-07
"CM031A",0.0202020202020202,0.0202020202020202,0.111111111111111,0.000554688019154775
"CM047A",0.0101010101010101,0.232323232323232,0.96969696969697,5.43168314778492e-126
"CM052A",0.0101010101010101,0.0505050505050505,0.727272727272727,7.87500871185611e-63
"CM103A",0.222222222222222,0.0909090909090909,0.131313131313131,0.0322740789018732
"CO001A",0.0606060606060606,0.121212121212121,0.101010101010101,0.236912002112742
"CO005A",0.0404040404040404,0.0707070707070707,0.303030303030303,1.72866326431391e-05
"CO006A",0.444444444444444,0.0808080808080808,0.121212121212121,0.00161462014864657
"CO009A",0.282828282828283,0.0808080808080808,0.0606060606060606,4.65516536227611e-05
"CY002A",0.0606060606060606,0.0202020202020202,0.717171717171717,0.000927644067966133
"CY003A",0.0101010101010101,0.121212121212121,0.98989898989899,6.95986053454785e-14
"CY004A",0.0202020202020202,0.0101010101010101,0.0101010101010101,1.37266110976053e-06
"CY006A",0.0101010101010101,0.0101010101010101,0.0707070707070707,1.07111065183455e-10
"CY007A",0.0101010101010101,0.0101010101010101,0.0202020202020202,0.361081154538915
"CY009A",0.828282828282828,0.141414141414141,0.121212121212121,0.00095160069389478
"CY010A",0.0101010101010101,0.222222222222222,0.98989898989899,9.84469290310606e-51
"CY011A",0.0101010101010101,0.323232323232323,0.828282828282828,0.00315342778490819
"CY019A",0.0101010101010101,0.151515151515152,1,1.0780534178769e-06
"DP001A",0.515151515151515,0.818181818181818,0.737373737373737,0.00134056945098659
"DP003A",0.222222222222222,0.373737373737374,0.818181818181818,0.000364104580783733
"DP007A",0.797979797979798,0.929292929292929,0.595959595959596,0.141598107113834
"DP012A",0.494949494949495,0.0303030303030303,0.0202020202020202,0.170577101797579
"DT001A",0.0505050505050505,0.0909090909090909,0.292929292929293,0.0319031864386959
