depth	min	max	median	wmean
0.3	-67.4	-5.8	-34.8	-34.8
0.8	-62.1	4.8	-28.6	-28.2
1.3	-59	19.1	-22.9	-21.5
1.8	-55.9	36.3	-17.7	-14.9
2.3	-53.9	54.4	-12.8	-8.6
2.8	-52.3	73.1	-7.9	-2.2
3.3	-51.6	92.1	-3.1	4.1
3.8	-50.3	111.2	1.7	10.4
4.3	-49.5	129.7	6.3	16.6
4.8	-48.6	148.1	11.3	23
5.3	-44.4	159.1	17.1	29.4
6.3	-35.9	173	30.8	42.2
7.3	-29.5	192.3	44.4	55.1
8.3	-24.3	210.9	57.5	67.8
9.3	-20.8	232.8	69.7	80.5
10.3	-14.2	255.7	81.9	92.9
11.8	-1.7	275.5	101.5	112.2
13.3	9.2	302	120.5	131.4
14.3	14.2	326.2	133.5	144.2
15.3	21.3	347.2	145.9	156.8
16.3	31.9	357.4	159.3	169.4
17.3	40.1	369.9	172.5	182.2
18.3	47.2	384	185.1	194.8
19.3	52.3	398.9	197.5	207.4
20.3	60.9	417.1	209.8	220.1
22.3	84.8	443.4	235.7	245.4
24.3	100.9	477.5	262.4	271.3
25.3	110.6	498.9	275.2	284.3
26.3	122.3	510.9	288.4	297.1
27.3	131.7	524.3	301.6	310.1
28.3	141.9	537	313.7	323.1
30.5	164.5	574	341.9	351.1
32.5	187.6	601.7	367.1	375.6
36.5	231.3	652.4	418.8	425.6
40.5	276.7	709.2	467.6	476.5
44.5	326.1	756.3	517.6	526.5
48.5	378	800.7	568.2	578.1
52.5	436.3	843.9	619.2	630.5
56.5	499	885.5	669.6	683
60.5	554.4	930.6	719.2	735.9
64.5	633.5	972.5	766.3	787.2
68.5	691.8	1098.7	874.4	880.1
72.5	758.9	1213	976.3	979.5
76.5	830.8	1312.9	1076.5	1077.3
80.5	912.1	1412.7	1179.2	1177
84.5	1010.1	1486.9	1277.9	1273.2
88.5	1167.4	1550.7	1372.5	1370.3
92.5	1329	1612.7	1466.4	1468.9
96.5	1417.1	1701.8	1562.1	1562.7
100.5	1475.7	1819.7	1644.1	1647.5
104.5	1553.4	1905.1	1731	1730.9
108.5	1672.1	2003.6	1835.3	1835.3
112.5	1762	2192.3	1952.7	1960.6
118.5	1906	2519.6	2139.9	2163.7
120.5	1960.7	2614.9	2202.9	2232.7
124.5	2132.8	2724.9	2330.3	2377.4
128.5	2327.2	3321.7	2715.3	2749.1
130.5	2418.4	3684.2	2898.1	2950.2
132.5	2543.1	3833.1	3148.5	3163.3
134.5	2619.8	4111.4	3382.3	3374.6
136.5	2852	4268.4	3612	3592
138.5	3037.8	4383.9	3850.3	3811.9
140.5	3266.7	4568	4072.1	4031.6
142.5	3792.7	4631.5	4265.1	4251
144.5	4159.4	4786	4479.6	4474.4
146.5	4315.2	4930.3	4640.2	4636.4
148.5	4397.3	5135.1	4771.8	4776.8
150.5	4490	5352.3	4894.4	4911.7
152.5	4630.2	5413.7	5032.2	5037
154.5	4720.3	5522.9	5176	5163
156.5	4927.5	5596.6	5308.1	5292.9
158.5	5110.1	5667.5	5451.5	5426.9
160.5	5211	5808.6	5569.4	5547.5
162.5	5286.9	5899.9	5643.3	5630.9
164.5	5344.9	6045.4	5715.9	5713.4
166.5	5453	6125.9	5796.6	5798.4
168.5	5539.8	6193.5	5884.7	5885
170.5	5639.2	6275.3	5969.2	5972.5
172.5	5789.3	6328.4	6054.8	6064.2
174.5	5883.8	6425.3	6140.7	6157.5
176.5	5999.7	6599.4	6298.2	6305.3
178.5	6078.1	6900.1	6460.8	6472.6
180.5	6175.4	7186.8	6619.4	6639.5
182.5	6356.5	7265.6	6805.6	6813.1
184.5	6455.7	7398.5	7004	6987.7
188.5	6959.5	7537.7	7324.3	7303.9
192.5	7181.6	7714.2	7524.9	7506.8
196.5	7335.9	7873.8	7650.1	7641.6
200.5	7500	7993.4	7782.7	7775.7
204.5	7750.5	8078	7897.3	7903.5
208.5	7860.5	8239.8	8036.6	8042.7
212.5	8019.7	8411.3	8175.1	8188.3
216.5	8222.2	8844.7	8475.6	8495.7
220.5	8413.7	10073.2	8990.3	9066
224.5	8757.1	10513.6	9746.4	9718.2
228.5	9754.2	10750.3	10371.9	10351.9
244.5	10498.9	14043.2	11939.2	12056.6
248.5	10543.3	15453.6	12493.9	12673
252.5	10602.9	16838.7	13063.2	13291.9
254.5	10617.8	17541.9	13351.7	13601
256.5	10636.4	18260.7	13640.7	13912.5
