AMPHCODE,Year,TaxonCode,Abun
ARR,1991,AC001A,1
ARR,1991,AC004A,2
ARR,1991,AC013A,70
ARR,1991,AC014B,2
ARR,1991,AC014C,3
ARR,1991,AC022A,4
ARR,1991,AC024A,1
ARR,1991,AC025A,3
ARR,1991,AC028A,8
ARR,1991,AC035A,1
ARR,1991,AC042A,1
ARR,1991,AC046A,3
ARR,1991,AC148A,10
ARR,1991,AC9964,3
ARR,1991,AC9969,2
ARR,1991,AC9999,8
ARR,1991,BR001A,34
ARR,1991,BR006A,17
ARR,1991,CM004A,1
ARR,1991,CM010A,17
ARR,1991,CM017A,2
ARR,1991,CM020A,3
ARR,1991,CM031A,12
ARR,1991,CM047A,2
ARR,1991,CM048A,5
ARR,1991,CM9999,2
ARR,1991,CO001A,1
ARR,1991,DT002A,2
ARR,1991,EU002A,3
ARR,1991,EU002B,4
ARR,1991,EU002C,4
ARR,1991,EU007A,1
ARR,1991,EU009A,12
ARR,1991,EU011A,17
ARR,1991,EU013A,1
ARR,1991,EU015A,1
ARR,1991,EU039A,1
ARR,1991,EU040A,1
ARR,1991,EU047A,18
ARR,1991,EU048A,1
ARR,1991,EU049A,4
ARR,1991,EU049B,3
ARR,1991,EU056A,1
ARR,1991,EU9961,2
ARR,1991,EU9964,1
ARR,1991,EU9999,12
ARR,1991,FR005D,12
ARR,1991,FR007A,12
ARR,1991,FU002B,13
ARR,1991,GO003A,2
ARR,1991,GO014B,2
ARR,1991,HN001A,3
ARR,1991,NA003B,1
ARR,1991,NA006A,1
ARR,1991,NA032A,2
ARR,1991,NA033A,1
ARR,1991,NA037A,5
ARR,1991,NA086A,1
ARR,1991,NA167A,4
ARR,1991,NE004A,1
ARR,1991,NI002A,2
ARR,1991,NI005A,2
ARR,1991,NI008A,2
ARR,1991,NI9999,1
ARR,1991,PE002A,15
ARR,1991,PI011A,1
ARR,1991,PI022B,2
ARR,1991,PI9995,1
ARR,1991,PI9999,1
ARR,1991,SA001A,1
ARR,1991,SY001A,1
ARR,1991,SY010A,6
ARR,1991,TA001A,79
ARR,1991,TA005A,1
ARR,1992,AC002B,2
ARR,1992,AC004A,1
ARR,1992,AC013A,71
ARR,1992,AC014B,1
ARR,1992,AC014C,2
ARR,1992,AC022A,2
ARR,1992,AC025A,1
ARR,1992,AC028A,5
ARR,1992,AC029A,2
ARR,1992,AC035A,1
ARR,1992,AC148A,5
ARR,1992,AC9964,4
ARR,1992,AC9969,6
ARR,1992,AC9996,3
ARR,1992,AC9999,2
ARR,1992,BR001A,45
ARR,1992,BR006A,19
ARR,1992,CM004A,5
ARR,1992,CM010A,8
ARR,1992,CM014A,1
ARR,1992,CM017A,1
ARR,1992,CM031A,2
ARR,1992,CM048A,14
ARR,1992,CM9999,1
ARR,1992,CO001A,1
ARR,1992,DT002A,9
ARR,1992,EU002A,8
ARR,1992,EU002B,15
ARR,1992,EU002C,4
ARR,1992,EU002E,1
ARR,1992,EU009A,6
ARR,1992,EU011A,9
ARR,1992,EU017A,1
ARR,1992,EU021A,1
ARR,1992,EU039A,1
ARR,1992,EU040A,2
ARR,1992,EU047A,24
ARR,1992,EU048A,3
ARR,1992,EU049A,9
ARR,1992,EU051A,5
ARR,1992,EU056A,3
ARR,1992,EU9999,5
ARR,1992,FR005A,1
ARR,1992,FR005D,10
ARR,1992,FR007A,3
ARR,1992,FU002B,12
ARR,1992,FU002F,7
ARR,1992,GO003A,14
ARR,1992,GO004A,1
ARR,1992,HN001A,1
