"","AC001A","AC002A","AC002B","AC003A","AC004A","AC013A","AC014A","AC014B","AC014C","AC022A","AC024A","AC025A","AC026A","AC028A","AC029A","AC035A","AC042A","AC044A","AC046A","AC048A","AC142A","AC148A","AC152A","AC9964","AC9968","AC9969","AC9974","AC9975","AC9996","AC9997","AC9999","AM011A","AS001A","AS003A","AU001A","AU002A","AU004A","AU004B","AU004D","AU005B","AU005D","AU005E","AU005J","AU010A","AU010B","AU014A","AU023A","AU034A","AU9990","AU9991","AU9999","BR001A","BR003A","BR006A","BR9997","BR9999","CA002A","CA005A","CM004A","CM009A","CM010A","CM013A","CM014A","CM015A","CM017A","CM019A","CM020A","CM022A","CM031A","CM043A","CM047A","CM048A","CM052A","CM070A","CM103A","CM9999","CO001A","CY001A","CY004A","CY006A","CY006D","CY010A","CY019A","CY9988","CY9999","DE001A","DP9999","DT001A","DT002A","EU002A","EU002B","EU002C","EU002D","EU002E","EU002K","EU003A","EU004A","EU007A","EU008A","EU009A","EU009C","EU009F","EU011A","EU013A","EU014A","EU015A","EU015B","EU016A","EU017A","EU018A","EU019A","EU020A","EU025A","EU026A","EU027A","EU028A","EU028B","EU029A","EU031A","EU032A","EU040A","EU043A","EU045A","EU047A","EU048A","EU049A","EU049B","EU049D","EU050A","EU051A","EU051B","EU053B","EU056A","EU057A","EU058A","EU9960","EU9961","EU9962","EU9963","EU9964","EU9965","EU9974","EU9979","EU9995","EU9999","FR001A","FR002A","FR002C","FR005A","FR005D","FR006A","FR007A","FR009A","FR010A","FR013A","FR9991","FR9999","FU002A","FU002B","FU002D","FU002F","GO003A","GO004A","GO005A","GO006C","GO010A","GO014A","GO014B","GO9999","HN001A","KR001A","ME019A","MR001A","NA001A","NA002A","NA003A","NA003B","NA005A","NA006A","NA006B","NA007A","NA013A","NA014A","NA015A","NA032A","NA033A","NA036A","NA037A","NA039A","NA040A","NA042A","NA044A","NA045A","NA046A","NA048A","NA068A","NA086A","NA099A","NA115A","NA133A","NA135A","NA140A","NA156A","NA158A","NA167A","NA738A","NA9955","NA9963","NA9968","NA9995","NA9999","NE003A","NE003C","NE003D","NE004A","NE006A","NE020A","NE9999","NI001A","NI002A","NI005A","NI008A","NI009A","NI017A","NI020B","NI025A","NI027A","NI9999","PE002A","PI002A","PI005A","PI007A","PI008A","PI011A","PI012A","PI015A","PI016A","PI017A","PI018A","PI019A","PI020A","PI022A","PI022B","PI023A","PI026A","PI027A","PI030A","PI9995","PI9999","RH003A","RZ011A","SA001A","SA001B","SA003A","SA005A","SA9999","SE001A","SP002A","ST010A","SU004A","SU005A","SU006A","SU016A","SU9999","SY002A","SY003A","SY010A","SY9999","TA001A","TA001B","TA001D","TA003A","TA003B","TA004A","TA005A","TA9999","TE001A"
"arr1991",0,0,0,0,0.414938,14.5228,0,0,0,0.829876,0,0,0,1.65975,0,0.207469,0,0,0,0,0,2.07469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05394,0,3.52697,0,0,0,0,0,0,3.52697,0,0,0,0,0,0,0,2.48963,0,0,1.03734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414938,0.622407,0.829876,0.829876,0,0,0,0,0,0,0,2.48963,0,0,3.52697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73444,0.207469,0.829876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48963,0,0,0,0,2.48963,0,2.48963,0,0,0,0,0,0,2.6971,0,0,0.414938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414938,0,0,0,0,0,0,0,3.11203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.39,0,0,0,0,0,0,0,0
"arr1992",0,0,0,0,0.205761,14.6091,0,0,0,0.411523,0,0,0,1.02881,0,0.205761,0,0,0,0,0,1.02881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25926,0,3.90947,0,0,0,0,0,0,1.64609,0,0,0,0,0,0,0,0.411523,0,0,2.88066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85185,1.64609,3.08642,0.823045,0,0.205761,0,0,0,0,0,1.23457,0,0,1.85185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93827,0.617284,1.85185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02881,0,0,0,0,2.05761,0,0.617284,0,0,0,0,0,0,2.46914,0,0,2.88066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205761,0,0,0,0,0,0,0,3.29218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3745,0,0,0,0,0,0,0,0
"arr1993",0,0,0,0,0.20202,15.3535,0,0,0,0.606061,0,0,0,1.41414,0,0,0,0,0,0,0,0.808081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89899,0,2.0202,0,0,0,0,0,0,0.808081,0,0,0,0,0,0,0,0.808081,0,0,0.808081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20202,0,0.606061,0.808081,0,5.85859,0,0,0,0,0,1.0101,0,0,1.0101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44444,1.61616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21212,0,0,0,0,3.0303,0,2.62626,0,0,0,0,0,0,3.83838,0,0,2.22222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41414,0,0,0,0,0,0,0,5.65657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7576,0,0,0,0,0,0,0,0
"arr1994",0,0,0,0,0.614754,18.0328,0,0,0,2.2541,0,0,0,2.04918,0,0.204918,0,0,0,0,0,0.819672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7049,0,3.68852,0,0,0,0,0,0,0.204918,0,0,0,0,0,0,0,1.43443,0,0,1.43443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614754,0.204918,0,0,2.66393,0,0,0,0,0,1.63934,0,0,1.22951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48361,0.819672,0.204918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819672,0,0,0,0,1.22951,0,1.22951,0,0,0,0,0,0,4.30328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63934,0,0,0,0,0,0,0,3.89344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9836,0,0,0,0,0,0,0,0
"arr1995",0,0,0,0,0.414938,24.2739,0,0,0,1.65975,0,0,0,1.45228,0,0,0,0,0,0,0,1.03734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.54357,0,1.86722,0,0,0,0,0,0,1.65975,0,0,0,0,0,0,0,1.24481,0,0,2.07469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622407,0.207469,0,2.07469,0,2.28216,0,0,0,0,0,0.622407,0,0,0.829876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18672,0.414938,0.622407,0,0,0,0,1.24481,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414938,0,0,0,0,2.48963,0,1.65975,0,0,0,0,0,0,4.35685,0,0,0.414938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48963,0,0,0,0,0,0,0,4.97925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9959,0,0,0,0,0,0,0,0
"arr1996",0,0,0,0,0,25.7576,0,0,0,2.1645,0,0,0,3.4632,0,0,0,0,0,0,0,1.7316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1515,0,3.0303,0,0,0,0,0,0,1.2987,0,0,0,0,0,0,0,0,0,0,1.7316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21645,0.865801,0,0,0,0.4329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4632,0,0.865801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51515,0,0,0,0,0.865801,0,1.7316,0,0,0,0,0,0,6.49351,0,0,0.4329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7316,0,0,0,0,0,0,0,2.5974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52381,0,0,0,0,0,0,0,0
"arr1997",0,0,0,0,2.21843,21.3311,0,0,0,1.02389,0,0,0,1.19454,0,0,0,0,0,0,0,2.38908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9693,0,6.31399,0,0,0,0,0,0,1.53584,0,0,0,0,0,0,0,0,0,0,1.36519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04778,0,0,0,1.02389,0,0,0,0,0,0.853242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2628,0.682594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87713,0,0,0,0,0.511945,0,4.43686,0,0,0,0,0,0,3.58362,0,0,0.170648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36519,0,0,0,0,0,0,0,2.04778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9454,0,0,0,0,0,0,0,0
"arr1998",0,0,0,0,1.19522,26.494,0,0,0,1.99203,0,0,0,0.996016,0,0,0,0,0,0,0,2.58964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3586,0,3.98406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59761,0.398406,0,0,0,0,0,0,0,0,1.19522,0,0,0.199203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78486,2.58964,0.796813,0,0,0,0,0.199203,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796813,0,0,0,0,2.58964,0,3.98406,0,0,0,0,0,0,2.98805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996016,0,0,0,0,0,0,0,6.57371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.753,0,0,0,0,0,0,0,0
"arr1999",0,0,0,0,0,15.2216,0,0,0,0.192678,0,0,0,0.963391,0,0.385356,0,0,0,0,0,0.192678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5607,0,4.81696,0,0,0,0,0,0,0.192678,0,0,0,0,0,0,0,0,0,0,1.7341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.963391,0,0,0,0,0,1.54143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78035,0.385356,2.50482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23892,0,0,0,0,6.93642,0,0,0,0,0,0,0,0,7.70713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770713,0,0,0,0,0,0,0,6.1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3776,0,0,0,0,0,0,0,0
"arr2001",0,0,0,0,0.714286,31.4286,0,0,0,0.714286,0,0,0,1.42857,0,2.67857,0,0,0,0,0,1.42857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1429,0,3.92857,0,0,0,0,0,0,3.03571,0,0,0,0,0,0,0,0,0,0,1.96429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0.535714,0,0,0.535714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42857,0.892857,0.535714,0,0,0,0,1.07143,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78571,0,0,0,0,0.535714,0,2.67857,0,0,0,0,0,0,2.85714,0,0,0.178571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46429,0,0,0,0,0,0,0,0
